Bill,Congress,Sponsor,Introduced,Summary
S. 1 (116th): Strengthening America’s Security in the Middle East Act of 2019,116,Sen. Marco Rubio [R-FL],3-Jan-2019,"To make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes."
S. 46 (116th): Klamath Tribe Judgment Fund Repeal Act,116,Sen. Jeff Merkley [D-OR],8-Jan-2019,To repeal the Klamath Tribe Judgment Fund Act.
S. 94 (116th): Target Practice and Marksmanship Training Support Act,116,Sen. Shelley Moore Capito [R-WV],10-Jan-2019,To amend the Pittman-Robertson Wildlife Restoration Act to facilitate the establishment of additional or expanded public target ranges in certain States.
S. 123 (116th): Ensuring Quality Care for Our Veterans Act,116,Sen. Joni Ernst [R-IA],15-Jan-2019,"To require the Secretary of Veterans Affairs to enter into a contract or other agreement with a third party to review appointees in the Veterans Health Administration who had a license terminated for cause by a State licensing board for care or services rendered at a non-Veterans Health Administration facility and to provide individuals treated by such an appointee with notice if it is determined that an episode of care or services to which they received was below the standard of care, and for other purposes."
S. 149 (116th): Stop Senior Scams Act,116,Sen. Robert “Bob” Casey [D-PA],16-Jan-2019,To establish a Senior Scams Prevention Advisory Council.
S. 221 (116th): Department of Veterans Affairs Provider Accountability Act,116,Sen. Cory Gardner [R-CO],24-Jan-2019,"To amend title 38, United States Code, to require the Under Secretary of Health to report major adverse personnel actions involving certain health care employees to the National Practitioner Data Bank and to applicable State licensing boards, and for other purposes."
S. 35: Officer Eugene Goodman Congressional Gold Medal Act,117,Sen. Chris Van Hollen [D-MD],22-Jan-2021,To award a Congressional Gold Medal to Officer Eugene Goodman.
S. 65: Uyghur Forced Labor Prevention Act,117,Sen. Marco Rubio [R-FL],27-Jan-2021,"To ensure that goods made with forced labor in the Xinjiang Uyghur Autonomous Region of the People’s Republic of China do not enter the United States market, and for other purposes."
S. 120: Safe Connections Act of 2021,117,Sen. Brian Schatz [D-HI],28-Jan-2021,To prevent and respond to the misuse of communications services that facilitates domestic violence and other crimes.
S. 89: Ensuring Survivor Benefits during COVID-19 Act of 2021,117,Sponsor: Sen. Kyrsten Sinema [D-AZ],28-Jan-2021,"To require the Secretary of Veterans Affairs to secure medical opinions for veterans with service-connected disabilities who die from COVID-19 to determine whether their service-connected disabilities were the principal or contributory causes of death, and for other purposes."
S. 198: Data Mapping to Save Moms’ Lives Act,117,Sen. Jacky Rosen [D-NV],3-Feb-2021,To require the Federal Communications Commission to incorporate data on maternal health outcomes into its broadband health maps.